,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
39725,80,105737715,16,3,2541,6,231,0,158.8125,110.58283090000002,6,0,2.0,3.464101615,24.08790468,0.179689905,5874317.5,12500000.0,51400000,83,106000000,7049175.467,13500000.0,51400000,351,103000000,51400000.0,28000000.0,71200000,31600000,0,0,0,0,536,100,0.151317815,0.02837209,0,231,127.35,117.57339250000001,13823.50263,0,0,0,1,0,0,0,0,0,134.05263159999998,158.8125,2.0,536,0,0,0,0,0,0,16,2541,3,6,29200,0,11,32,4709640.5,6659716.22,9418771,510,19300000.0,18800000.0,51400000,5896722,DoS slowloris
53885,80,105643968,16,3,2541,6,231,0,158.8125,110.58283090000002,6,0,2.0,3.464101615,24.10927995,0.17984936,5869109.333,12500000.0,51300000,99,106000000,7042924.6,13500000.0,51300000,551,103000000,51300000.0,28000000.0,71200000,31500000,0,0,0,0,536,100,0.15145209199999998,0.028397267,0,231,127.35,117.57339250000001,13823.50263,0,0,0,1,0,0,0,0,0,134.05263159999998,158.8125,2.0,536,0,0,0,0,0,0,16,2541,3,6,29200,0,11,32,4706831.0,6655682.176,9413109,553,19200000.0,18800000.0,51300000,5837418,DoS slowloris
46906,80,3001116,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.9996281379999999,1500558.0,711657.7204,2003776,997340,3001116,1500558.0,711657.7204,2003776,997340,0,0.0,0.0,0,0,0,0,0,0,120,0,0.9996281379999999,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
50729,80,99999685,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.16000050400000002,0.040000126000000004,33300000.0,57700000.0,100000000,21,100000000,100000000.0,0.0,100000000,100000000,100000000,100000000.0,0.0,100000000,100000000,1,0,0,0,64,64,0.020000063000000002,0.020000063000000002,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6.0,8.0,0.0,64,0,0,0,0,0,0,2,16,2,0,229,235,1,32,21.0,0.0,21,21,100000000.0,0.0,100000000,100000000,DoS slowloris
55201,80,3003341,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998887572,1501670.5,710381.3927,2003986,999355,3003341,1501670.5,710381.3927,2003986,999355,0,0.0,0.0,0,0,0,0,0,0,120,0,0.998887572,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
39126,80,103589576,15,3,2541,6,231,0,169.4,105.73741059999999,6,0,2.0,3.464101615,24.58741602,0.173762657,6093504.471,12900000.0,51300000,87,104000000,7399248.214,13900000.0,51300000,493,103000000,51300000.0,28100000.0,71200000,31400000,0,0,0,0,496,100,0.144802214,0.028960443,0,231,134.05263159999998,116.8034787,13643.052630000002,0,0,0,1,0,0,0,0,0,141.5,169.4,2.0,496,0,0,0,0,0,0,15,2541,3,6,29200,0,11,32,3707585.5,5242650.188999999,7414699,472,19200000.0,18800000.0,51300000,5767920,DoS slowloris
55092,80,3001555,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999481935,1500777.5,711637.2143,2003981,997574,3001555,1500777.5,711637.2143,2003981,997574,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999481935,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
39534,80,102610840,14,3,2541,6,231,0,181.5,98.36333745,6,0,2.0,3.464101615,24.82193889,0.165674504,6413177.5,13200000.0,51300000,88,103000000,7893134.768999999,14300000.0,51300000,258,103000000,51300000.0,27900000.0,71000000,31600000,0,0,0,0,456,100,0.13643782699999998,0.029236677000000003,0,231,141.5,115.45472759999998,13329.79412,0,0,0,1,0,0,0,0,0,149.8235294,181.5,2.0,456,0,0,0,0,0,0,14,2541,3,6,29200,0,11,32,3206050.0,4533514.718,6411729,371,19200000.0,18800000.0,51300000,5928419,DoS slowloris
49499,80,3003766,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998746241,1501883.0,709897.0245,2003856,999910,3003766,1501883.0,709897.0245,2003856,999910,0,0.0,0.0,0,0,0,0,0,0,120,0,0.998746241,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
50334,80,99999638,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.160000579,0.040000145,33300000.0,57700000.0,100000000,65,100000000,100000000.0,0.0,100000000,100000000,100000000,100000000.0,0.0,100000000,100000000,1,0,0,0,64,64,0.020000072,0.020000072,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6.0,8.0,0.0,64,0,0,0,0,0,0,2,16,2,0,229,235,1,32,65.0,0.0,65,65,100000000.0,0.0,100000000,100000000,DoS slowloris
31813,80,3003759,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998748568,1501879.5,710041.9814,2003955,999804,3003759,1501879.5,710041.9814,2003955,999804,0,0.0,0.0,0,0,0,0,0,0,120,0,0.998748568,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
31873,80,3003735,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998756548,1501867.5,710077.3368,2003968,999767,3003735,1501867.5,710077.3368,2003968,999767,0,0.0,0.0,0,0,0,0,0,0,120,0,0.998756548,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
60568,80,99999601,2,2,16,0,8,8,8.0,0.0,0,0,0.0,0.0,0.160000638,0.04000016,33300000.0,57700000.0,100000000,32,100000000,100000000.0,0.0,100000000,100000000,100000000,100000000.0,0.0,100000000,100000000,1,0,0,0,64,64,0.02000008,0.02000008,0,8,4.8,4.38178046,19.2,0,1,0,0,1,0,0,0,1,6.0,8.0,0.0,64,0,0,0,0,0,0,2,16,2,0,229,235,1,32,32.0,0.0,32,32,100000000.0,0.0,100000000,100000000,DoS slowloris
50389,80,3002687,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999105135,1501343.5,710539.7846,2003771,998916,3002687,1501343.5,710539.7846,2003771,998916,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999105135,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
29129,80,3003599,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.9988017709999999,1501799.5,709998.1408,2003844,999755,3003599,1501799.5,709998.1408,2003844,999755,0,0.0,0.0,0,0,0,0,0,0,120,0,0.9988017709999999,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
42646,80,3002834,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999056225,1501417.0,710475.4379,2003799,999035,3002834,1501417.0,710475.4379,2003799,999035,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999056225,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
56672,80,3001268,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.999577512,1500634.0,711818.9408,2003966,997302,3001268,1500634.0,711818.9408,2003966,997302,0,0.0,0.0,0,0,0,0,0,0,120,0,0.999577512,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
30991,80,97089906,4,3,239,0,231,0,59.75,114.2289368,0,0,0.0,0.0,2.461635919,0.072098123,16200000.0,39600000.0,97100000,26,97100000,32400000.0,56100000.0,97100000,341,97100000,48500000.0,68700000.0,97100000,900,0,0,0,0,136,104,0.041198927999999996,0.030899196,0,231,29.875,81.31497402,6612.125,0,0,0,1,0,0,0,0,0,34.14285714,59.75,0.0,136,0,0,0,0,0,0,4,239,3,0,29200,235,2,32,964.0,0.0,964,964,97100000.0,0.0,97100000,97100000,DoS slowloris
69265,80,75,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,26666.66667,75.0,0.0,75,75,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,13333.33333,13333.33333,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,496,277,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS slowloris
